===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 0.824 ms
syndrome              : 3.210 ms
Berlekamp-Massey      : 7.525 ms
Chien search          : 26.256 ms
D2H                   : 1.676 ms
wall                  : 323.629 ms
overhead              : 284.138 ms
throughput            : 154497.84 ct/s
