===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 0.801 ms
syndrome              : 3.181 ms
Berlekamp-Massey      : 7.525 ms
Chien search          : 26.246 ms
D2H                   : 1.687 ms
wall                  : 336.139 ms
overhead              : 296.699 ms
throughput            : 148747.77 ct/s
