===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.396 ms
syndrome              : 19.686 ms
Berlekamp-Massey      : 30.776 ms
Chien search          : 126.938 ms
D2H                   : 3.330 ms
wall                  : 700.173 ms
overhead              : 518.048 ms
throughput            : 71410.89 ct/s
