===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.517 ms
syndrome              : 19.652 ms
Berlekamp-Massey      : 30.785 ms
Chien search          : 126.947 ms
D2H                   : 3.356 ms
wall                  : 688.872 ms
overhead              : 506.614 ms
throughput            : 72582.45 ct/s
