===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.269 ms
syndrome              : 19.575 ms
Berlekamp-Massey      : 30.776 ms
Chien search          : 126.939 ms
D2H                   : 3.329 ms
wall                  : 686.583 ms
overhead              : 504.695 ms
throughput            : 72824.39 ct/s
