===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.434 ms
syndrome              : 18.928 ms
Berlekamp-Massey      : 28.067 ms
Chien search          : 130.729 ms
D2H                   : 3.197 ms
wall                  : 708.662 ms
overhead              : 526.306 ms
throughput            : 70555.48 ct/s
