===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.422 ms
syndrome              : 19.200 ms
Berlekamp-Massey      : 36.078 ms
Chien search          : 160.102 ms
D2H                   : 3.915 ms
wall                  : 828.622 ms
overhead              : 607.904 ms
throughput            : 60341.18 ct/s
