===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.323 ms
syndrome              : 19.694 ms
Berlekamp-Massey      : 30.780 ms
Chien search          : 126.946 ms
D2H                   : 3.330 ms
wall                  : 695.136 ms
overhead              : 513.063 ms
throughput            : 71928.40 ct/s
