===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.535 ms
syndrome              : 19.169 ms
Berlekamp-Massey      : 35.159 ms
Chien search          : 130.740 ms
D2H                   : 3.198 ms
wall                  : 724.427 ms
overhead              : 534.627 ms
throughput            : 69020.06 ct/s
