===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.579 ms
syndrome              : 19.123 ms
Berlekamp-Massey      : 30.788 ms
Chien search          : 126.943 ms
D2H                   : 3.331 ms
wall                  : 755.305 ms
overhead              : 573.541 ms
throughput            : 66198.40 ct/s
