===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.564 ms
syndrome              : 18.894 ms
Berlekamp-Massey      : 30.790 ms
Chien search          : 126.950 ms
D2H                   : 3.334 ms
wall                  : 706.664 ms
overhead              : 525.134 ms
throughput            : 70754.94 ct/s
