===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.425 ms
syndrome              : 19.189 ms
Berlekamp-Massey      : 35.147 ms
Chien search          : 130.735 ms
D2H                   : 3.195 ms
wall                  : 733.031 ms
overhead              : 543.341 ms
throughput            : 68209.90 ct/s
