===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.356 ms
syndrome              : 19.197 ms
Berlekamp-Massey      : 36.057 ms
Chien search          : 160.099 ms
D2H                   : 3.910 ms
wall                  : 855.803 ms
overhead              : 635.184 ms
throughput            : 58424.68 ct/s
