===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 0.797 ms
syndrome              : 3.211 ms
Berlekamp-Massey      : 8.518 ms
Chien search          : 26.255 ms
D2H                   : 1.689 ms
wall                  : 325.125 ms
overhead              : 284.655 ms
throughput            : 153787.00 ct/s
