===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.044 ms
syndrome              : 8.872 ms
Berlekamp-Massey      : 15.681 ms
Chien search          : 80.878 ms
D2H                   : 2.205 ms
wall                  : 384.068 ms
overhead              : 275.389 ms
throughput            : 130185.15 ct/s
