===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.270 ms
syndrome              : 8.851 ms
Berlekamp-Massey      : 15.686 ms
Chien search          : 80.894 ms
D2H                   : 2.213 ms
wall                  : 392.741 ms
overhead              : 283.827 ms
throughput            : 127310.46 ct/s
