===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.628 ms
syndrome              : 18.549 ms
Berlekamp-Massey      : 21.435 ms
Chien search          : 126.953 ms
D2H                   : 3.331 ms
wall                  : 685.481 ms
overhead              : 513.586 ms
throughput            : 72941.46 ct/s
