===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.071 ms
syndrome              : 8.863 ms
Berlekamp-Massey      : 15.678 ms
Chien search          : 80.889 ms
D2H                   : 2.205 ms
wall                  : 389.177 ms
overhead              : 280.471 ms
throughput            : 128476.34 ct/s
