===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.534 ms
syndrome              : 17.572 ms
Berlekamp-Massey      : 21.425 ms
Chien search          : 126.935 ms
D2H                   : 3.340 ms
wall                  : 691.574 ms
overhead              : 520.768 ms
throughput            : 72298.88 ct/s
