Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
77.5,160194012,1,160194012.0,160194012.0,160194012,160194012,0.0,"warp_chien_search_kernel(const unsigned short *, unsigned int *, int)"
14.2,29313124,1,29313124.0,29313124.0,29313124,29313124,0.0,"berlekampMasseyKernel(const unsigned short *, unsigned short *)"
8.4,17301779,1,17301779.0,17301779.0,17301779,17301779,0.0,"SyndromeKernel(const unsigned short *, const unsigned char *, unsigned short *)"
