===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 0.799 ms
syndrome              : 3.208 ms
Berlekamp-Massey      : 8.519 ms
Chien search          : 26.257 ms
D2H                   : 1.687 ms
wall                  : 350.271 ms
overhead              : 309.801 ms
throughput            : 142746.42 ct/s
