Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.8,126877586,1,126877586.0,126877586.0,126877586,126877586,0.0,"warp_chien_search_kernel(const unsigned short *, unsigned int *, int)"
17.6,30752104,1,30752104.0,30752104.0,30752104,30752104,0.0,"berlekampMasseyKernel(const unsigned short *, unsigned short *)"
9.6,16760693,1,16760693.0,16760693.0,16760693,16760693,0.0,"SyndromeKernel(const unsigned short *, const unsigned char *, unsigned short *)"
