===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 0.781 ms
syndrome              : 3.207 ms
Berlekamp-Massey      : 8.521 ms
Chien search          : 26.260 ms
D2H                   : 1.686 ms
wall                  : 339.003 ms
overhead              : 298.548 ms
throughput            : 147491.36 ct/s
