===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.776 ms
syndrome              : 19.203 ms
Berlekamp-Massey      : 36.072 ms
Chien search          : 160.124 ms
D2H                   : 3.921 ms
wall                  : 852.008 ms
overhead              : 630.912 ms
throughput            : 58684.92 ct/s
