===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.358 ms
syndrome              : 19.060 ms
Berlekamp-Massey      : 28.882 ms
Chien search          : 160.099 ms
D2H                   : 3.912 ms
wall                  : 848.146 ms
overhead              : 634.836 ms
throughput            : 58952.14 ct/s
