Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.9,26251298,1,26251298.0,26251298.0,26251298,26251298,0.0,"warp_chien_search_kernel(const unsigned short *, unsigned int *, int)"
18.4,6639922,1,6639922.0,6639922.0,6639922,6639922,0.0,"berlekampMasseyKernel(const unsigned short *, unsigned short *)"
8.7,3142870,1,3142870.0,3142870.0,3142870,3142870,0.0,"SyndromeKernel(const unsigned short *, const unsigned char *, unsigned short *)"
