===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.763 ms
syndrome              : 18.682 ms
Berlekamp-Massey      : 28.897 ms
Chien search          : 160.108 ms
D2H                   : 3.910 ms
wall                  : 840.499 ms
overhead              : 627.139 ms
throughput            : 59488.49 ct/s
