Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
76.9,160198680,1,160198680.0,160198680.0,160198680,160198680,0.0,"warp_chien_search_kernel(const unsigned short *, unsigned int *, int)"
14.1,29311267,1,29311267.0,29311267.0,29311267,29311267,0.0,"berlekampMasseyKernel(const unsigned short *, unsigned short *)"
9.1,18879621,1,18879621.0,18879621.0,18879621,18879621,0.0,"SyndromeKernel(const unsigned short *, const unsigned char *, unsigned short *)"
