===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.589 ms
syndrome              : 17.523 ms
Berlekamp-Massey      : 30.791 ms
Chien search          : 126.954 ms
D2H                   : 3.340 ms
wall                  : 678.486 ms
overhead              : 498.290 ms
throughput            : 73693.54 ct/s
