===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.270 ms
syndrome              : 17.211 ms
Berlekamp-Massey      : 30.776 ms
Chien search          : 126.934 ms
D2H                   : 3.330 ms
wall                  : 693.774 ms
overhead              : 514.254 ms
throughput            : 72069.53 ct/s
