===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.260 ms
syndrome              : 17.736 ms
Berlekamp-Massey      : 30.777 ms
Chien search          : 126.937 ms
D2H                   : 3.329 ms
wall                  : 694.320 ms
overhead              : 514.282 ms
throughput            : 72012.90 ct/s
