===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 0.679 ms
syndrome              : 3.231 ms
Berlekamp-Massey      : 7.513 ms
Chien search          : 26.244 ms
D2H                   : 1.701 ms
wall                  : 321.121 ms
overhead              : 281.753 ms
throughput            : 155704.37 ct/s
