Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
79.8,160193296,1,160193296.0,160193296.0,160193296,160193296,0.0,"warp_chien_search_kernel(const unsigned short *, unsigned int *, int)"
11.4,22846750,1,22846750.0,22846750.0,22846750,22846750,0.0,"berlekampMasseyKernel(const unsigned short *, unsigned short *)"
8.8,17710887,1,17710887.0,17710887.0,17710887,17710887,0.0,"SyndromeKernel(const unsigned short *, const unsigned char *, unsigned short *)"
