===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.476 ms
syndrome              : 19.578 ms
Berlekamp-Massey      : 30.783 ms
Chien search          : 126.934 ms
D2H                   : 3.341 ms
wall                  : 718.869 ms
overhead              : 536.757 ms
throughput            : 69553.66 ct/s
