===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.534 ms
syndrome              : 19.677 ms
Berlekamp-Massey      : 30.796 ms
Chien search          : 126.953 ms
D2H                   : 3.331 ms
wall                  : 702.190 ms
overhead              : 519.899 ms
throughput            : 71205.83 ct/s
