===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.443 ms
syndrome              : 19.405 ms
Berlekamp-Massey      : 30.793 ms
Chien search          : 126.947 ms
D2H                   : 3.334 ms
wall                  : 691.295 ms
overhead              : 509.374 ms
throughput            : 72327.99 ct/s
