===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 0.662 ms
syndrome              : 3.225 ms
Berlekamp-Massey      : 8.517 ms
Chien search          : 26.249 ms
D2H                   : 1.679 ms
wall                  : 340.922 ms
overhead              : 300.589 ms
throughput            : 146661.28 ct/s
