===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.457 ms
syndrome              : 18.798 ms
Berlekamp-Massey      : 28.067 ms
Chien search          : 131.028 ms
D2H                   : 3.208 ms
wall                  : 712.823 ms
overhead              : 530.267 ms
throughput            : 70143.62 ct/s
