===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.252 ms
syndrome              : 17.326 ms
Berlekamp-Massey      : 30.776 ms
Chien search          : 126.937 ms
D2H                   : 3.333 ms
wall                  : 710.079 ms
overhead              : 530.454 ms
throughput            : 70414.72 ct/s
