===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.578 ms
syndrome              : 18.349 ms
Berlekamp-Massey      : 30.787 ms
Chien search          : 126.948 ms
D2H                   : 3.330 ms
wall                  : 693.018 ms
overhead              : 512.026 ms
throughput            : 72148.15 ct/s
