===== GPU optimised =====
ciphertexts processed : 50000
batch size            : 50000
H2D                   : 1.838 ms
syndrome              : 18.932 ms
Berlekamp-Massey      : 28.897 ms
Chien search          : 160.117 ms
D2H                   : 3.926 ms
wall                  : 866.319 ms
overhead              : 652.609 ms
throughput            : 57715.45 ct/s
